DIA;HUMR;TEMP;PRES_ATM
788;25.48;88.44;99.4
789;26.55;81.25;99.41
790;26.17;90.88;99.41
791;27.0;85.81;99.43
792;26.94;84.44;99.3
793;27.27;82.31;99.28
794;27.19;83.12;99.33
795;27.5;83.12;99.44
796;28.19;78.88;99.34
797;27.76;84.25;99.21
798;27.94;84.38;99.19
799;27.87;83.06;99.35
800;27.32;86.94;99.3
801;26.86;87.0;99.09
802;27.8;81.62;99.08
803;27.4;83.38;99.24
804;27.07;86.25;99.23
805;26.9;89.81;99.19
806;26.81;87.62;99.2
807;26.63;87.94;99.23
808;26.42;87.88;99.31
809;26.34;88.62;99.25
810;26.69;88.25;99.18
811;25.51;89.94;99.27
812;26.12;84.19;99.4
813;26.57;84.88;99.48
814;26.83;85.38;99.28
815;26.93;87.25;99.03
816;26.58;89.25;99.03
817;25.89;89.31;99.05
818;27.06;82.62;99.11
819;26.36;89.69;99.28
820;25.52;90.0;99.34
821;27.55;77.75;99.24
822;28.22;76.0;99.25
823;27.99;79.38;99.43
824;26.9;85.56;99.4
825;26.33;86.44;99.21
826;27.08;85.69;99.23
827;27.0;87.44;99.43
828;25.41;90.94;99.6
829;25.15;86.19;99.56
830;24.15;85.19;99.51
831;25.34;79.75;99.42
832;24.22;83.75;99.44
833;26.28;85.75;99.41
834;26.81;86.56;99.24
835;27.13;85.0;99.18
836;22.59;85.94;99.51
837;20.56;85.38;99.87
838;22.55;77.69;99.87
839;22.57;76.69;99.8
840;24.12;74.0;99.66
841;25.2;80.5;99.59
842;26.4;82.69;99.54
843;26.83;84.12;99.42
844;27.15;82.69;99.29
845;26.9;85.56;99.19
846;27.59;82.75;99.27
847;27.36;84.94;99.45
848;26.28;86.88;99.55
849;26.79;84.44;99.45
850;26.99;84.0;99.49
851;27.92;76.56;99.54
852;27.3;78.38;99.64
853;26.48;79.12;99.59
854;26.34;82.25;99.45
855;26.34;84.0;99.25
856;27.12;84.19;99.25
857;26.0;85.19;99.52
858;18.74;74.06;100.07
859;21.07;66.19;99.99
860;22.38;76.25;99.7
861;24.83;82.19;99.51
862;26.48;83.31;99.37
863;26.96;84.44;99.3
864;26.13;88.88;99.36
865;22.9;86.38;99.7
866;23.01;78.62;99.8
867;23.87;73.94;99.77
868;24.41;75.69;99.58
869;25.84;76.75;99.59
870;25.23;85.5;99.53
871;26.66;83.62;99.49
872;27.08;82.19;99.46
873;26.4;84.38;99.57
874;21.5;71.81;100.02
875;20.44;57.31;100.09
876;22.19;66.5;99.8
877;23.14;69.25;99.82
878;22.43;65.38;99.64
879;22.88;69.38;99.56
880;24.75;76.19;99.57
881;26.38;76.06;99.5
882;27.19;76.19;99.55
883;26.59;81.94;99.51
884;24.84;85.44;99.55
885;23.53;80.94;99.5
886;25.05;79.31;99.62
887;26.84;74.75;99.62
888;27.45;73.88;99.68
889;27.87;73.56;99.62
890;28.0;74.69;99.55
891;28.12;72.19;99.42
892;27.85;69.75;99.39
893;27.79;70.25;99.41
894;28.0;72.81;99.27
895;28.37;71.88;99.44
896;23.77;68.06;99.83
897;25.55;63.81;99.75
898;26.98;66.44;99.6
899;27.35;69.62;99.49
900;27.73;67.25;99.4
901;28.05;67.56;99.43
902;28.56;67.69;99.45
903;28.55;64.0;99.43
904;28.67;63.06;99.44
905;28.71;64.81;99.18
906;27.83;68.75;99.12
907;28.01;69.81;99.32
908;27.71;70.25;99.35
909;27.62;59.75;99.33
910;27.55;63.0;99.37
911;27.14;62.81;99.4
912;28.3;61.31;99.29
913;27.73;57.69;99.4
914;26.88;48.88;99.38
915;27.15;48.94;99.42
916;28.12;54.56;99.27
917;29.82;55.94;99.25
918;30.47;55.0;99.3
919;30.0;55.5;99.22
920;28.13;66.5;99.37
921;24.12;74.19;99.7
922;24.41;65.81;99.64
923;26.34;68.75;99.45
924;27.1;67.81;99.4
925;28.21;66.5;99.47
926;27.84;67.94;99.6
927;27.81;60.81;99.49
928;28.69;61.81;99.47
929;29.44;57.62;99.43
930;28.57;57.56;99.29
931;29.08;57.12;99.26
932;29.73;57.44;99.26
933;29.39;57.31;99.28
934;29.09;48.25;99.19
935;28.79;50.06;99.22
936;29.54;49.62;99.28
937;27.06;65.44;99.64
938;21.9;56.81;99.78
939;26.07;56.44;99.5
940;28.74;53.56;99.47
941;27.63;45.0;99.64
942;25.81;38.44;99.73
943;27.61;40.94;99.66
944;28.66;39.75;99.64
945;29.66;39.31;99.56
946;30.12;35.75;99.71
947;30.25;34.19;99.64
948;30.53;36.81;99.52
949;31.02;36.88;99.44
950;30.63;34.12;99.54
951;31.26;32.69;99.53
952;31.71;34.88;99.45
953;31.07;43.38;99.15
954;31.35;43.81;99.04
955;30.91;42.81;98.99
956;31.0;40.06;98.96
957;31.06;45.62;98.91
958;31.8;48.56;98.91
959;32.51;44.88;98.97
960;32.47;42.38;98.92
961;32.39;38.62;98.81
962;32.7;40.81;98.86
963;25.4;50.44;99.67
964;18.53;50.19;100.3
965;21.51;38.69;100.01
966;24.87;39.88;99.58
967;27.85;44.94;99.29
968;29.84;38.62;99.15
969;30.98;37.25;99.12
970;32.49;36.56;99.17
971;32.92;39.25;99.11
972;34.16;37.81;98.89
973;31.62;48.88;99.16
974;30.9;54.81;99.32
975;32.13;49.38;99.29
976;33.15;39.81;99.12
977;31.71;44.25;99.14
978;32.72;41.75;99.19
979;33.35;41.44;99.14
980;33.55;41.81;99.06
981;33.9;37.94;98.91
982;31.98;39.06;99.05
983;32.94;35.38;99.16
984;32.94;36.88;99.23
985;33.0;40.56;99.01
986;32.65;44.88;99.03
987;33.12;44.62;99.12
988;32.11;50.44;99.34
989;29.58;52.75;99.35
990;30.73;48.44;99.12
991;31.05;51.88;99.12
992;30.77;53.62;99.17
